2222 45693
1544 527 6666
451 637 7639
2136 34 6461
2013 1065 6239
109 2217 2096
1783 2063 1320
1949 783 3493
217 94 8950
1267 1522 6316
111 1208 2301
858 1331 7611
145 699 7691
510 84 233
135 1009 5615
1040 2026 1486
1138 928 1944
1529 1209 9099
320 681 6601
2212 160 4313
1491 2158 4837
1400 2159 9643
656 1458 3138
67 206 9725
579 1197 4422
398 404 6261
475 96 2720
1531 781 2149
905 942 9343
1395 1640 8678
158 299 321
435 1963 6943
1524 1203 9623
982 191 2430
654 1707 7724
1624 1662 7355
804 623 881
1897 2036 8309
1550 127 4093
1142 590 5963
497 501 1778
2108 283 7829
1440 1989 3174
2155 583 4206
1141 264 2212
288 154 6125
2052 1151 5048
266 739 6178
1726 2044 9169
1952 261 3909
1092 1583 3562
1096 1493 2604
938 1414 7186
1185 239 3003
2187 1048 4889
319 1712 8638
1622 2117 4607
2216 768 1904
1127 1623 3142
983 722 1293
2100 2181 6985
1405 595 3463
1506 1705 1111
702 939 1941
1111 1943 3737
1703 1512 5220
1292 570 44
1179 1433 6723
727 1955 1093
1102 1155 5718
77 1702 4394
1793 1381 2390
1094 429 2081
576 2111 9337
2019 1739 3196
1297 1467 7354
558 325 6025
1858 1331 1554
1006 493 6414
1070 167 89
901 1688 8967
1030 326 8863
2134 1137 3036
310 207 4056
39 574 5495
148 746 8083
527 1147 1071
197 880 690
78 302 5071
1326 1508 7827
957 848 9377
1930 297 4908
1009 673 3444
1618 2017 7864
194 1770 7278
2009 424 702
1550 970 5711
251 1950 5722
961 1987 3283
1814 1179 7921
2019 1869 9094
1180 1647 2557
749 764 652
1433 991 9827
492 159 3103
650 2085 1762
558 1089 6653
790 1565 1019
1445 128 6534
677 1907 2261
812 2155 7403
1175 2160 5266
473 1093 4823
503 114 967
194 42 8027
365 2039 5623
1294 209 7967
219 873 5248
182 1101 7680
1112 2113 5142
1576 646 85
1906 2179 1642
648 394 987
205 1930 3614
622 1025 9773
2041 1943 2885
102 508 8452
964 653 261
489 459 3332
504 2198 6234
1321 63 1838
1066 1441 3809
2164 1257 8608
2012 106 1510
1117 391 7823
1712 1866 7964
1878 1787 1287
2127 153 2334
99 1781 2212
503 896 6237
739 307 8759
730 567 4194
1783 217 2972
1270 716 9638
490 565 205
2213 2014 5160
81 534 2996
91 122 487
1247 812 678
881 1292 1821
2221 1172 8264
1921 1101 1237
1613 1736 5642
478 871 8866
2199 1812 9906
1527 1386 399
1674 2221 9537
548 791 3033
1593 1395 3363
270 498 9990
1616 728 2981
726 934 4866
571 1255 8855
995 728 7439
1174 2071 9695
863 1947 2799
1058 933 2446
1513 651 7632
801 1102 2277
1216 415 8681
654 840 6158
651 775 2860
1380 1236 3720
1412 1045 9204
1099 1023 2140
91 2207 275
1103 184 6820
974 1645 3950
629 574 1298
1696 1957 1042
1191 818 2424
407 1226 6215
1838 2045 882
1170 15 1052
721 764 6477
2144 1700 2902
1534 319 3137
1276 1179 3291
190 1079 8442
1496 2192 4448
1228 783 9848
219 2156 1470
1900 19 9438
84 378 5150
126 1072 797
460 997 1895
788 241 9855
151 312 8354
2035 1853 2470
1318 970 649
777 1997 8134
1324 1161 3709
2127 507 9990
132 1899 4995
49 459 2165
510 380 1096
1345 909 5929
70 1425 5365
198 1747 1400
213 217 5077
1081 1193 7825
362 957 5541
1345 503 6689
1438 544 3178
988 270 3516
1894 1612 86
72 247 7272
124 1943 5714
1663 1640 5269
1581 2167 4461
1884 320 5830
362 418 6936
1420 1128 8847
2155 373 5240
1426 1008 9786
816 2202 4536
738 1690 9929
1558 1948 5701
565 2124 2411
1258 21 8219
1939 321 4484
745 251 2995
1226 769 4198
991 2116 5799
708 1005 1384
1887 1017 1968
108 2107 3706
1680 187 8314
572 1537 13
305 1405 2983
468 119 7559
616 1920 8217
177 660 8670
1094 128 3165
501 129 8221
303 1298 6705
225 1027 5024
218 1068 2015
1044 1514 9655
1237 582 7490
137 1985 7896
165 753 2179
540 884 4303
2205 510 2795
1774 1081 324
2017 1993 849
300 919 4869
1343 1558 6429
690 968 7529
366 1013 3732
619 699 3057
390 1373 8168
993 197 305
1264 1316 4874
659 1170 9056
616 1539 1540
261 777 1280
1909 460 4861
185 572 1427
1909 2178 8741
347 370 2165
1649 2093 613
1128 263 2522
1705 121 1351
1951 1500 4099
1009 1221 7204
1025 1714 4968
1319 728 6906
2144 1114 4554
1515 2050 3204
2100 1946 6919
451 346 5234
219 569 7912
336 2065 2839
1159 1995 9203
251 891 373
632 848 2114
1201 527 4724
1013 1096 9564
2136 1570 1098
1184 897 8536
28 2071 3698
644 682 8140
1878 1653 1171
412 1993 5580
507 2162 5851
745 1902 5793
971 1564 5663
725 1742 3387
1459 25 344
1305 390 9196
526 1012 6678
112 1320 8876
128 2030 4972
662 1160 7055
1814 69 9001
644 495 8686
2110 1892 3847
916 1559 8270
221 237 9806
1665 1269 8392
1287 679 6656
1133 871 7347
1970 781 4942
1447 1015 8369
1588 676 3014
495 1995 9181
59 743 8067
1496 935 4470
2089 1301 5805
353 2045 4250
954 2198 8361
2091 1022 5154
905 1933 8121
2011 1503 9352
209 1948 9272
713 357 1248
1587 5 6882
284 1873 7412
94 605 819
223 176 1700
678 2057 9259
1682 1146 4321
936 1985 2873
1288 1167 3248
1002 891 5287
1686 662 1330
859 2087 2973
224 162 1915
881 920 3793
1122 1675 5579
1797 110 4892
545 199 7956
1012 461 9376
2170 282 1624
1149 659 1634
900 1776 6189
242 1712 7117
1166 267 4728
939 1652 6689
2029 244 1180
623 426 9001
2078 176 3084
1499 970 1864
1087 1462 1091
51 1805 2839
2121 952 161
1431 822 9444
52 238 5256
1315 810 5657
2113 726 8950
165 1278 3486
1165 996 6791
866 2121 3315
1835 2020 3039
2186 2094 5657
2087 1208 4763
1824 1698 7010
175 1805 6558
1773 1304 9294
1282 644 4180
1731 1865 7584
135 479 4267
1840 1923 8286
1503 137 7948
690 1686 239
1513 658 7906
2175 579 9451
2075 890 2458
1840 306 614
1277 1806 2274
1375 1927 4043
980 614 6256
1930 1917 7475
1316 181 8190
1546 1380 530
585 805 1784
89 555 54
340 757 6755
2142 1891 6883
792 1294 2689
133 605 1551
647 619 8226
1911 2218 4428
212 861 7280
133 1350 188
1824 1566 6752
656 1348 6211
528 740 1146
586 646 5210
910 1308 5280
1782 2199 1432
1929 1302 2327
1546 1928 5519
2004 519 4314
505 1515 4481
1482 757 5641
1918 912 2905
1334 1659 8268
970 1647 4196
1822 496 4275
1326 2076 7790
820 60 1766
1403 2021 7996
358 853 5437
2216 1992 9800
228 1790 651
889 1790 788
281 1614 7276
2080 1294 4259
1274 1493 3563
231 1284 6065
215 2215 8711
1983 2042 8333
210 426 4357
1054 974 4343
20 1315 6556
354 277 2258
1791 325 161
1923 1905 3043
2102 1147 4937
744 1604 7579
2077 1522 5780
1694 1688 5128
1273 1505 7872
2181 570 5881
1156 885 196
1874 715 192
1289 2112 3978
2005 1079 8427
927 1160 5522
1355 1440 7577
1972 930 5413
1634 1011 3297
1015 495 2527
1943 408 1633
443 1010 2448
1933 2011 6067
797 901 944
1120 1168 3144
701 1644 139
1382 43 3658
2024 2208 7747
1636 1056 8297
1886 1847 53
1989 1526 2977
1912 112 1130
898 454 2189
1684 916 9270
758 142 6337
355 1799 7438
1838 285 3300
1058 1030 4852
153 2026 4287
1643 1626 7732
523 361 3144
1966 1557 8409
137 1838 5996
895 2165 7189
2032 1055 8520
169 363 8506
2050 600 8304
1026 750 3298
568 1617 3206
1291 1590 1242
1090 1514 3787
1078 2089 3547
1798 2145 7846
548 622 2645
192 1538 4400
2176 1617 4408
2027 565 2363
1845 1266 1458
1809 1967 7159
1864 2082 5576
468 2154 680
313 1846 2841
235 143 7639
976 1902 4494
571 2042 3272
1146 1235 7418
932 484 1749
755 1052 4884
1516 433 2483
2197 47 3622
1251 1370 2180
783 1807 5631
1865 718 6230
1416 641 6176
328 1881 8754
2079 1815 393
2131 719 3477
1637 1420 7300
1017 382 5477
1051 1277 5
1373 752 3223
1021 242 5296
698 440 6855
1871 534 9205
472 407 598
235 2090 7896
1019 461 6172
2186 88 8991
993 821 1866
1425 667 1852
2025 1684 518
974 538 7766
796 2088 2505
1515 1992 1789
1436 1660 425
1833 1995 2333
717 953 6374
1585 712 1861
1609 1089 7514
2151 1491 685
1098 536 7211
1034 2039 5213
1358 910 4742
545 1637 1679
1129 1463 6572
1396 241 3568
1984 36 9273
735 2074 3836
1686 2022 1042
102 372 8261
559 949 8469
1189 752 5257
162 2015 8569
229 397 4562
1270 906 1955
1948 1752 3209
1472 1220 4686
1496 1689 613
262 218 1874
191 1490 6018
102 1992 1856
1531 300 1509
480 2175 1699
291 522 1289
92 1046 2938
1372 2116 9390
1078 385 6646
1151 1634 2817
24 382 1586
1493 1430 1538
187 1534 2347
255 556 5622
1741 622 7466
60 856 3107
1087 1282 3696
1929 959 928
381 1970 2184
2181 1119 2037
713 2036 3499
2177 1321 6635
29 1185 716
1645 746 6681
1911 1282 2524
1176 1364 2874
1980 2204 4470
1589 905 4653
1064 1275 4970
128 290 1491
521 1168 2170
2188 923 8071
864 749 6511
1896 2142 7005
317 971 7081
1559 1241 6202
2162 1582 7145
1596 184 8270
1005 319 9909
146 158 808
888 2080 5191
1591 63 4921
48 1791 5288
2204 1218 8941
1272 567 8358
90 2017 1948
279 1726 4457
1451 1309 8788
2024 613 6510
444 1610 6015
230 2183 2837
1132 731 4428
751 162 9525
1497 2087 3824
548 1034 4543
1751 2126 4779
1781 2044 7543
457 2011 9043
1115 438 8508
2216 2205 2764
703 1372 7463
1569 1621 8847
590 952 5
1899 1119 3308
